Date, Open, High, Low, Close, Volume,Company
1/14/2019,310,310,310,310,1000,KUKZ
12/31/2018,310,310,310,310,400,KUKZ
12/28/2018,310,310,310,310,100,KUKZ
12/20/2018,310,310,310,310,7000,KUKZ
12/19/2018,310,310,310,310,1100,KUKZ
12/5/2018,310,310,310,310,200,KUKZ
11/22/2018,310,310,310,310,400,KUKZ
10/25/2018,310,310,310,310,200,KUKZ
10/24/2018,310,310,310,310,25000,KUKZ
10/12/2018,310,310,310,310,2000,KUKZ
10/9/2018,310,311,310,310,600,KUKZ
10/8/2018,311,311,311,311,100,KUKZ
10/2/2018,310,310,310,310,3000,KUKZ
9/13/2018,320,320,320,320,6000,KUKZ
9/12/2018,315,315,315,315,800,KUKZ
9/4/2018,316,316,316,316,400,KUKZ
8/27/2018,316,320,310,316,1500,KUKZ
8/20/2018,320,320,320,320,600,KUKZ
8/17/2018,320,320,320,320,2000,KUKZ
8/13/2018,320,320,320,320,100,KUKZ
8/8/2018,320,320,320,320,2200,KUKZ
8/7/2018,320,320,320,320,2700,KUKZ
8/2/2018,320,320,320,320,70000,KUKZ
7/24/2018,320,320,320,320,200,KUKZ
7/23/2018,320,320,320,320,600,KUKZ
7/16/2018,320,320,320,320,300,KUKZ
7/12/2018,320,320,320,320,5000,KUKZ
6/28/2018,320,320,320,320,69400,KUKZ
6/20/2018,320,320,320,320,500,KUKZ
6/13/2018,320,320,320,320,1000,KUKZ
6/12/2018,320,320,320,320,1000,KUKZ
6/6/2018,320,320,320,320,1000,KUKZ
6/5/2018,354,355,304,354,10300,KUKZ
5/30/2018,335,336,334,335,1000,KUKZ
5/22/2018,351,351,351,351,1500,KUKZ
5/15/2018,351,354,350,351,5000,KUKZ
5/11/2018,354,355,350,354,19000,KUKZ
5/10/2018,370,370,370,370,100,KUKZ
5/9/2018,345,345,345,345,3000,KUKZ
5/4/2018,355,356,355,355,3700,KUKZ
5/3/2018,355,355,355,355,200,KUKZ
5/2/2018,355,355,355,355,300,KUKZ
4/24/2018,355,355,355,355,1000,KUKZ
4/23/2018,355,360,355,355,5000,KUKZ
4/17/2018,361,361,361,361,700,KUKZ
4/16/2018,355,355,355,355,100,KUKZ
4/13/2018,390,390,390,390,100,KUKZ
3/29/2018,360,360,360,360,7000,KUKZ
3/28/2018,356,360,355,356,500,KUKZ
3/27/2018,365,365,365,365,100,KUKZ
3/26/2018,360,360,360,360,100,KUKZ
3/23/2018,355,380,355,355,48400,KUKZ
3/16/2018,360,360,360,360,100,KUKZ
3/9/2018,360,360,360,360,100,KUKZ
3/8/2018,380,380,380,380,100,KUKZ
3/2/2018,390,390,390,390,100,KUKZ
2/21/2018,355,355,355,355,100,KUKZ
2/19/2018,390,390,390,390,100,KUKZ
2/16/2018,355,355,355,355,500,KUKZ
1/30/2018,355,355,355,355,200,KUKZ
1/25/2018,390,390,390,390,100,KUKZ
1/22/2018,355,355,355,355,2600,KUKZ
1/19/2018,355,355,355,355,100,KUKZ
1/18/2018,360,360,360,360,200,KUKZ
1/17/2018,355,355,355,355,100,KUKZ
1/16/2018,355,359,355,355,17700,KUKZ
1/15/2018,355,355,355,355,53900,KUKZ
1/12/2018,350,350,350,350,1800,KUKZ
1/8/2018,359,359,359,359,100,KUKZ
1/5/2018,330,330,330,330,300,KUKZ
12/21/2017,329,329,329,329,100,KUKZ
12/20/2017,329,329,329,329,100,KUKZ
12/14/2017,327,327,327,327,100,KUKZ
12/13/2017,327,327,327,327,4400,KUKZ
12/8/2017,350,350,350,350,3200,KUKZ
12/4/2017,350,350,350,350,100,KUKZ
11/24/2017,350,350,350,350,700,KUKZ
11/23/2017,350,350,350,350,100,KUKZ
11/14/2017,344,345,344,344,1800,KUKZ
11/13/2017,345,345,345,345,100,KUKZ
11/8/2017,345,345,345,345,200,KUKZ
11/6/2017,324,324,324,324,400,KUKZ
11/2/2017,324,324,324,324,200,KUKZ
10/24/2017,330,330,330,330,15000,KUKZ
10/18/2017,325,325,325,325,100,KUKZ
10/11/2017,323,323,323,323,2000,KUKZ
10/9/2017,345,345,345,345,500,KUKZ
10/5/2017,345,345,345,345,100,KUKZ
9/28/2017,330,330,330,330,100,KUKZ
9/20/2017,330,330,330,330,500,KUKZ
9/14/2017,320,320,320,320,100,KUKZ
9/12/2017,320,320,320,320,600,KUKZ
9/8/2017,336,340,335,336,5400,KUKZ
9/6/2017,324,325,319,324,6000,KUKZ
9/1/2017,315,316,315,315,4300,KUKZ
8/7/2017,309,310,305,309,1500,KUKZ
8/1/2017,320,320,320,320,500,KUKZ
7/28/2017,320,320,320,320,1500,KUKZ
7/18/2017,316,320,301,316,3700,KUKZ
7/14/2017,317,317,317,317,100,KUKZ
7/11/2017,319,319,319,319,100,KUKZ
7/10/2017,301,301,301,301,100,KUKZ
7/5/2017,300,300,300,300,2900,KUKZ
